tokens,POS
Я,PRON
тень,NOUN
я,PRON
свиристель,NOUN
убитый,VERB
влет,ADV
Подложной,ADJ
синью,NOUN
взятой,VERB
в,ADP
переплет,NOUN
Окна,NOUN
комочек,NOUN
пепла,NOUN
легкий,ADJ
прах,NOUN
Порхнувший,VERB
в,ADP
отраженных,VERB
небесах,NOUN
Так,ADV
и,CONJ
снутри,ADV
удвоены,VERB
во,ADP
мне,PRON
Я,PRON
сам,DET
тарелка,NOUN
яблоко,NOUN
на,ADP
ней,PRON
Раздвинув,VERB
ночью,NOUN
шторы,NOUN
за,ADP
стеклом,NOUN
Я,PRON
открываю,VERB
кресло,NOUN
со,ADP
столом,NOUN
Висящие,VERB
над,ADP
темной,NOUN
гладью,NOUN
сада,NOUN
Но,CONJ
лучше,ADV
если,CONJ
после,ADP
снегопада,NOUN
Они,PRON
как,CONJ
на,ADP
ковре,NOUN
стоят,VERB
вовне,ADV
Там,ADV
на,ADP
снегу,NOUN
в,ADP
хрустальнейшей,ADJ
стране,NOUN
Вернемся,VERB
в,ADP
снегопад,NOUN
здесь,ADV
каждый,DET
клок,NOUN
Бесформен,ADJ
медлен,ADJ
вял,ADJ
и,CONJ
одинок,ADJ
Унылый,ADJ
мрак,NOUN
белесый,ADJ
бледный,ADJ
день,NOUN
Нейтральный,ADJ
свет,NOUN
абстрактных,ADJ
сосен,NOUN
сень,NOUN
В,ADP
ограду,NOUN
сини,NOUN
вкрадчиво-скользящей,ADJ
Ночь,NOUN
заключит,VERB
картину,NOUN
со,ADP
смотрящим,VERB
А,CONJ
утром,NOUN
чьи,DET
пришпоренные,VERB
ноги,NOUN
Вписали,VERB
строчку,NOUN
в,ADP
чистый,ADJ
лист,NOUN
дороги,NOUN
Дивится,VERB
перл,NOUN
мороза,NOUN
Снова,ADV
мы,PRON
Направо,ADV
слева,ADV
ясный,ADJ
шифр,NOUN
зимы,NOUN
Читаем,VERB
точка,NOUN
стрелка,NOUN
вспять,ADV
штришок,NOUN
Вновь,ADV
точка,NOUN
стрелка,NOUN
вспять,ADV
фазаний,ADJ
скок,NOUN
Се,PRON
гордый,ADJ
граус,NOUN
родственник,NOUN
тетерки,NOUN
Китаем,PROPN
наши,DET
претворил,VERB
задворки,NOUN
Из,ADP
Хольмса,PROPN
что,ADV
ли,ADV
вспять,ADV
уводит,VERB
след,NOUN
Когда,ADV
башмак,NOUN
назад,ADV
носком,NOUN
надет,VERB
Был,AUX
люб,ADJ
мне,PRON
взоры,NOUN
грея,VERB
всякий,DET
цвет,NOUN
Я,PRON
мог,AUX
сфотографировать,VERB
предмет,NOUN
В,ADP
своем,DET
зрачке,NOUN
Довольно,VERB
было,AUX
мне,PRON
Глазам,NOUN
дать,VERB
волю,NOUN
или,CONJ
в,ADP
тишине,NOUN
Шепнуть,VERB
приказ,NOUN
и,CONJ
все,DET
что,CONJ
видит,VERB
взор,NOUN
Паркет,NOUN
гикори,NOUN
лиственный,ADJ
убор,NOUN
Застрех,NOUN
капели,NOUN
стылые,ADJ
стилеты,NOUN
На,ADP
дне,NOUN
глазницы,NOUN
оседало,VERB
где-то,ADV
И,CONJ
сохранялось,VERB
час,NOUN
и,CONJ
два,NUM
Пока,ADV
Все,DET
это,PRON
длилось,VERB
стоило,VERB
слегка,ADV
Прикрыть,VERB
глаза,NOUN
и,CONJ
заново,ADV
узришь,VERB
